Sortiernummer,Ebene0 Name,Ebene1 Kode,Ebene1 Name,Ebene 2 Kode,Ebene2 Name,Ebene3 Kode,Ebene3 Name,Ebene4 Kode,Ebene4 Name,Ebene5 Kode,Ebene5 Name,Ebene6 Kode,Ebene6 Name,IRIS Hierarchie Art,IRIS Hierarchie Nr,Kulturkürzel,Code (Antrag),Notiz,Nutzung1 ,Code1,Nutzung2,Code2,Nutzung3,Code3,Nutzung4,Code4,Nutzung5,Code5,Leguminose (ÖVF)
1,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,TRZSS,Weizen,TRZAX,Weichweizen,TRZAW,Winterweichweizen,TRZAW,Winterweichweizen,Gruppe,50111,WW,115,,,,,,,,,,,,
2,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,TRZSS,Weizen,TRZAX,Weichweizen,TRZAS,Sommerweichweizen,TRZAS,Sommerweichweizen,Gruppe,50121,WS,116,,,,,,,,,,,,
3,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,TRZSS,Weizen,TRZDU,Hartweizen,TRZDW,Winterhartweizen,TRZDW,Winterhartweizen,Gruppe,50111,HWW,112,,,,,,,,,,,,
4,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,TRZSS,Weizen,TRZDU,Hartweizen,TRZDS,Sommerhartweizen,TRZDS,Sommerhartweizen,Gruppe,50121,HWS,113,,,,,,,,,,,,
5,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,TRZSS,Weizen,TRZDI,Emmer,TRZDI,Emmer,TRZDI,Emmer,,,EMW,118,Winteremmer,Sommer-Emmer,119,,,,,,,,,
6,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,TRZSS,Weizen,TRZSP,Dinkel,TRZSP,Dinkel,TRZSP,Dinkel,,,SPW,114,Winterdinkel,Sommer-Dinkel,120,,,,,,,,,
7,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,SECCE,Roggen,SECCW,Winterroggen,SECCW,Winterroggen,SECCW,Winterroggen,Gruppe,50114,RW,121,,,,,,,,,,,,
8,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,SECCE,Roggen,SECCS,Sommerroggen,SECCS,Sommerroggen,SECCS,Sommerroggen,Gruppe,50124,RS,122,,,,,,,,,,,,
9,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,HORVX,Gerste,HORVW,Wintergerste,HORVW,Wintergerste,HORVW,Wintergerste,Gruppe,50112,GW,131,,,,,,,,,,,,
10,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,HORVX,Gerste,HORVS,Sommergerste,HORVS,Sommergerste,HORVS,Sommergerste,Gruppe,50122,GS,132,,,,,,,,,,,,
11,Hauptfrucht,NNNAC,Ackerbaukulturen,NNNGE,Getreide,TTLSS,Triticale,TTLWI,Wintertriticale,TTLWI,Wintertriticale,TTLWI,Wintertriticale,Gruppe,50113,TIW,156,,,,,,,,,,,,
